Liquor ,%ABV
absinthe,0.6
advocaat ,0.17
aperitif,0.175
aquavit,0.4
baileys,0.17
beer ,0.045
bitters,0.4
bourbon,0.4
brandy,0.35
cachaca,0.43
champagne,0.12
cherry heering,0.24
cognac,0.4
drambuie,0.4
dry vermouth,0.15
dubonnet rouge,0.19
erin cream,0.17
everclear,0.95
flavored rum,0.4
flavored vodka,0.35
frangelico,0.24
galliano,0.432
gin,0.5
grain alcohol,0.95
jagermeister,0.35
liqueur,0.15
pernod,0.4
pisang ambon,0.21
pisco,0.43
port,0.2
prosecco,0.12
red wine,0.135
ricard,0.45
rum,0.4
sambuca,0.38
sarsaparilla,0.07
scotch,0.7
sherry,0.19
tequila,0.4
vermouth,0.15
vodka,0.4
whiskey,0.4
wine,0.15
zima,0.047